,model,year,distance,fuel,auto,efficiency,max_power,max_toque,method,insurance,is_genesis,price
1049,기아 올 뉴 쏘렌토 2.0 디젤 2WD  노블레스 스페셜,7.0,67065.0,2.0,1.0,12.9,186.0,41.0,0.0,4.0,0.0,1290.0
1050,기아 쏘렌토R  2.2 디젤 2WD TLX 최고급형   ,13.0,126580.0,2.0,1.0,14.1,200.0,44.5,0.0,0.0,0.0,919.0
1051,기아 더 뉴 쏘렌토  2.0 디젤 2WD 프레스티지   ,4.0,75088.0,2.0,1.0,13.8,186.0,41.0,0.0,0.0,0.0,2469.0
1053,기아 더 뉴 쏘렌토 2.2 디젤 2WD 프레스티지,3.0,33500.0,2.0,1.0,13.6,202.0,45.0,0.0,0.0,0.0,2870.0
1054,기아 올 뉴 쏘렌토  2.0 디젤 2WD 노블레스 스페셜   ,7.0,143000.0,2.0,1.0,12.9,186.0,41.0,0.0,4.0,0.0,1599.0
1056,기아 더 뉴 쏘렌토 2.0 디젤 2WD 프레스티지,4.0,95000.0,2.0,1.0,13.8,186.0,41.0,0.0,2.0,0.0,1800.0
1057,기아 더 뉴 쏘렌토 2.0 디젤 2WD 프레스티지,5.0,145000.0,2.0,1.0,13.1,186.0,41.0,0.0,3.0,0.0,1700.0
1059,기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD 그래비티,1.0,11000.0,1.0,1.0,14.3,230.0,35.7,0.0,0.0,0.0,835.0
1060,기아 더 뉴 쏘렌토 2.0 디젤 2WD 노블레스,5.0,73500.0,2.0,1.0,12.4,186.0,41.0,0.0,0.0,0.0,2050.0
1061,기아 더 뉴 쏘렌토 2.2 디젤 2WD 노블레스,3.0,41000.0,2.0,1.0,13.6,202.0,45.0,0.0,2.0,0.0,2200.0
1062,기아 쏘렌토 4세대 2.2 디젤 2WD 프레스티지,3.0,49000.0,2.0,1.0,14.3,202.0,45.0,0.0,3.0,0.0,2990.0
1063,기아 더 뉴 K5 2.0 트렌디,9.0,76940.0,1.0,1.0,11.9,172.0,20.5,0.0,7.0,0.0,600.0
1064,기아 K5 2.0 LPi 시그니처,3.0,21361.0,0.0,1.0,9.8,146.0,19.5,0.0,0.0,0.0,2530.0
1065,기아 K5 2.0 LPi 시그니처,3.0,46214.0,0.0,1.0,9.8,146.0,19.5,0.0,0.0,0.0,2460.0
1068,기아 K5  2.0 디럭스   ,10.0,78893.0,1.0,1.0,11.9,172.0,20.5,0.0,0.0,0.0,899.0
1069,기아 K5 1.6 터보 시그니처,3.0,17000.0,1.0,1.0,13.2,180.0,27.0,0.0,0.0,0.0,2980.0
1070,기아 K5 2.0 노블레스,2.0,26613.0,1.0,1.0,13.0,160.0,20.0,0.0,2.0,0.0,2600.0
1071,기아 더 뉴 K5  2.0 LPi  럭셔리,4.0,130425.0,0.0,1.0,9.4,151.0,19.8,0.0,1.0,0.0,1099.0
1072,기아 K5 2.0  트렌디,3.0,90286.0,1.0,1.0,13.0,160.0,20.0,0.0,0.0,0.0,1560.0
1073,기아 더 뉴 K5 2.0  프레스티지,4.0,103195.0,1.0,1.0,12.1,163.0,20.0,0.0,2.0,0.0,1260.0
1074,기아 더 뉴 K5 2.0 럭셔리,8.0,105897.0,1.0,1.0,11.9,172.0,20.5,0.0,0.0,0.0,699.0
1075,기아 더 뉴 K5 2.0 LPi  디럭스,8.0,86000.0,0.0,1.0,9.3,155.0,19.8,0.0,3.0,0.0,450.0
1076,기아 K5 2.4 프레스티지,12.0,143667.0,1.0,1.0,13.0,201.0,25.5,0.0,4.0,0.0,630.0
1077,기아 K5 하이브리드 2세대 2.0 HEV 노블레스 스페셜,4.0,49500.0,1.0,1.0,17.0,191.0,27.0,0.0,3.0,0.0,2250.0
1078,기아 K5 2.0 프레스티지,12.0,161755.0,1.0,1.0,13.0,165.0,20.2,0.0,4.0,0.0,460.0
1079,기아 K5 하이브리드 2세대 2.0 HEV 프레스티지,6.0,83723.0,1.0,1.0,17.5,191.0,27.0,0.0,2.0,0.0,1690.0
1082,기아 K5 2세대 2.0 MX 럭셔리,7.0,75235.0,1.0,1.0,12.6,168.0,20.5,0.0,7.0,0.0,799.0
1083,기아 더 뉴 K5 2.0 트렌디,9.0,76940.0,1.0,1.0,11.9,172.0,20.5,0.0,7.0,0.0,600.0
1084,기아 K5 2.0 LPi 시그니처,3.0,21361.0,0.0,1.0,9.8,146.0,19.5,0.0,0.0,0.0,2530.0
1085,기아 K5 2.0 LPi 시그니처,3.0,46214.0,0.0,1.0,9.8,146.0,19.5,0.0,0.0,0.0,2460.0
1088,기아 K5  2.0 디럭스   ,10.0,78893.0,1.0,1.0,11.9,172.0,20.5,0.0,0.0,0.0,899.0
1089,기아 K5 1.6 터보 시그니처,3.0,17000.0,1.0,1.0,13.2,180.0,27.0,0.0,0.0,0.0,2980.0
1090,기아 K5 2.0 노블레스,2.0,26613.0,1.0,1.0,13.0,160.0,20.0,0.0,2.0,0.0,2600.0
1091,기아 더 뉴 K5  2.0 LPi  럭셔리,4.0,130425.0,0.0,1.0,9.4,151.0,19.8,0.0,1.0,0.0,1099.0
1092,기아 K5 2.0  트렌디,3.0,90286.0,1.0,1.0,13.0,160.0,20.0,0.0,0.0,0.0,1560.0
1093,기아 더 뉴 K5 2.0  프레스티지,4.0,103195.0,1.0,1.0,12.1,163.0,20.0,0.0,2.0,0.0,1260.0
1094,기아 더 뉴 K5 2.0 럭셔리,8.0,105897.0,1.0,1.0,11.9,172.0,20.5,0.0,0.0,0.0,699.0
1095,기아 더 뉴 K5 2.0 LPi  디럭스,8.0,86000.0,0.0,1.0,9.3,155.0,19.8,0.0,3.0,0.0,450.0
1096,기아 K5 2.4 프레스티지,12.0,143667.0,1.0,1.0,13.0,201.0,25.5,0.0,4.0,0.0,630.0
1097,기아 K5 하이브리드 2세대 2.0 HEV 노블레스 스페셜,4.0,49500.0,1.0,1.0,17.0,191.0,27.0,0.0,3.0,0.0,2250.0
1098,기아 K5 2.0 프레스티지,12.0,161755.0,1.0,1.0,13.0,165.0,20.2,0.0,4.0,0.0,460.0
1099,기아 K5 하이브리드 2세대 2.0 HEV 프레스티지,6.0,83723.0,1.0,1.0,17.5,191.0,27.0,0.0,2.0,0.0,1690.0
1102,기아 K5 2세대 2.0 MX 럭셔리,7.0,75235.0,1.0,1.0,12.6,168.0,20.5,0.0,7.0,0.0,799.0
